"","ForecastYear","Month","LeadMonth","AnalogYear","Distance","Weight","Rank"
"49",1997,6,4,1985,0.293973293389284,0.0984094713269123,9
"50",1997,6,4,1994,0.293973293389284,0.0984094713269123,10
"51",1998,6,4,2008,0.298470269859644,0.102766703418245,1
"52",1998,6,4,2010,0.298470269859644,0.102766703418245,2
"53",1998,6,4,2007,0.298470269859644,0.102766703418245,3
"54",1998,6,4,1985,0.298470269859644,0.102766703418245,4
"55",1998,6,4,1982,0.298470269859644,0.102766703418245,5
"56",1998,6,4,2013,0.31545635203377,0.0972332965817548,6
"57",1998,6,4,1998,0.31545635203377,0.0972332965817548,7
"58",1998,6,4,1989,0.31545635203377,0.0972332965817548,8
"59",1998,6,4,2002,0.31545635203377,0.0972332965817548,9
"60",1998,6,4,1993,0.31545635203377,0.0972332965817548,10
"61",1999,6,4,2011,0.280354885059259,0.101071027083603,1
"62",1999,6,4,2018,0.280354885059259,0.101071027083603,2
"63",1999,6,4,2004,0.280354885059259,0.101071027083603,3
"64",1999,6,4,1996,0.280354885059259,0.101071027083603,4
"65",1999,6,4,1985,0.280354885059259,0.101071027083603,5
"66",1999,6,4,1994,0.280354885059259,0.101071027083603,6
"67",1999,6,4,2014,0.287984416206408,0.0983934593745956,7
"68",1999,6,4,1995,0.287984416206408,0.0983934593745956,8
"69",1999,6,4,2005,0.287984416206408,0.0983934593745956,9
"70",1999,6,4,2017,0.287984416206408,0.0983934593745956,10
"71",2000,6,4,1995,0.251288551231439,0.115432918287654,1
"72",2000,6,4,2005,0.251288551231439,0.115432918287654,2
"73",2000,6,4,2014,0.251288551231439,0.115432918287654,3
"74",2000,6,4,2017,0.251288551231439,0.115432918287654,4
"75",2000,6,4,2004,0.29643159216638,0.0978544370852777,5
"76",2000,6,4,1983,0.29643159216638,0.0978544370852777,6
"77",2000,6,4,2003,0.29643159216638,0.0978544370852777,7
"78",2000,6,4,2012,0.29643159216638,0.0978544370852777,8
"79",2000,6,4,2018,0.367074377159403,0.0790230446595881,9
"80",2000,6,4,2010,0.427664772826305,0.0678275338486843,10
"81",2001,6,4,2014,0.260129009638623,0.118825758002088,1
"82",2001,6,4,1995,0.260129009638623,0.118825758002088,2
"83",2001,6,4,2005,0.260129009638623,0.118825758002088,3
"84",2001,6,4,2017,0.260129009638623,0.118825758002088,4
"85",2001,6,4,2018,0.351305859769395,0.087986961438382,5
"86",2001,6,4,1996,0.353900083835593,0.0873420013106534,6
"87",2001,6,4,2018,0.353900083835593,0.0873420013106534,7
"88",2001,6,4,2004,0.353900083835593,0.0873420013106534,8
"89",2001,6,4,1985,0.353900083835593,0.0873420013106534,9
"90",2001,6,4,1994,0.353900083835593,0.0873420013106534,10
"91",2002,6,4,1995,0.233655252682645,0.116557746121199,1
"92",2002,6,4,2005,0.233655252682645,0.116557746121199,2
"93",2002,6,4,2014,0.233655252682645,0.116557746121199,3
"94",2002,6,4,2017,0.233655252682645,0.116557746121199,4
"95",2002,6,4,2004,0.286374718263204,0.0951010771967885,5
"96",2002,6,4,1983,0.286374718263204,0.0951010771967885,6
"97",2002,6,4,2003,0.286374718263204,0.0951010771967885,7
"98",2002,6,4,2012,0.286374718263204,0.0951010771967885,8
"99",2002,6,4,2018,0.305585795982939,0.0891226108393521,9
"100",2002,6,4,2010,0.42394091291411,0.0642420958886984,10
